Student_ID,placement_status,salary_lpa
1,Placed,14.95
2,Placed,14.91
3,Placed,17.73
4,Placed,14.52
5,Placed,15.91
6,Placed,14.27
7,Placed,10.97
8,Placed,13.41
9,Placed,18.83
10,Placed,17.66
11,Placed,9.74
12,Placed,19.73
13,Placed,12.35
14,Placed,13.72
15,Placed,16.54
16,Placed,20.0
17,Placed,20.0
18,Placed,13.7
19,Placed,14.26
20,Placed,20.0
21,Not Placed,0.0
22,Not Placed,0.0
23,Placed,16.01
24,Placed,16.37
25,Placed,17.31
26,Not Placed,0.0
27,Placed,12.27
28,Placed,15.53
29,Placed,16.73
30,Placed,16.24
31,Placed,11.77
32,Placed,17.94
33,Placed,11.24
34,Placed,13.94
35,Placed,10.77
36,Placed,11.87
37,Placed,12.41
38,Placed,16.37
39,Placed,15.23
40,Placed,13.14
41,Placed,16.68
42,Not Placed,0.0
43,Placed,15.42
44,Placed,16.76
45,Placed,18.21
46,Placed,20.0
47,Placed,17.27
48,Placed,10.5
49,Placed,13.62
50,Placed,18.1
51,Placed,17.42
52,Placed,17.28
53,Placed,17.13
54,Not Placed,0.0
55,Placed,20.0
56,Placed,15.23
57,Placed,14.72
58,Placed,19.77
59,Placed,12.47
60,Placed,12.77
61,Placed,19.19
62,Placed,10.4
63,Placed,17.2
64,Placed,7.63
65,Placed,16.09
66,Placed,12.29
67,Placed,18.17
68,Placed,15.12
69,Placed,13.64
70,Placed,19.62
71,Placed,8.99
72,Placed,11.1
73,Placed,18.31
74,Placed,13.97
75,Placed,18.7
76,Not Placed,0.0
77,Not Placed,0.0
78,Not Placed,0.0
79,Not Placed,0.0
80,Placed,18.4
81,Placed,20.0
82,Placed,14.28
83,Placed,18.35
84,Placed,17.57
85,Placed,17.11
86,Placed,15.23
87,Not Placed,0.0
88,Placed,16.56
89,Not Placed,0.0
90,Placed,14.84
91,Placed,15.72
92,Placed,19.59
93,Placed,13.26
94,Placed,16.65
95,Placed,20.0
96,Not Placed,0.0
97,Placed,18.52
98,Placed,19.01
99,Placed,7.68
100,Not Placed,0.0
101,Placed,15.69
102,Not Placed,0.0
103,Placed,16.91
104,Placed,14.52
105,Placed,20.0
106,Placed,20.0
107,Placed,18.56
108,Placed,12.05
109,Placed,18.43
110,Placed,17.61
111,Placed,15.67
112,Placed,15.97
113,Placed,14.79
114,Not Placed,0.0
115,Placed,18.61
116,Placed,14.47
117,Placed,13.01
118,Placed,13.6
119,Placed,20.0
120,Placed,19.84
121,Placed,14.67
122,Placed,18.84
123,Placed,20.0
124,Placed,19.4
125,Placed,15.16
126,Not Placed,0.0
127,Not Placed,0.0
128,Placed,10.82
129,Placed,7.97
130,Placed,11.65
131,Placed,11.41
132,Placed,14.68
133,Placed,19.37
134,Placed,15.87
135,Placed,13.02
136,Placed,15.49
137,Placed,12.23
138,Placed,15.44
139,Placed,10.1
140,Placed,19.99
141,Placed,8.45
142,Placed,17.29
143,Placed,15.54
144,Not Placed,0.0
145,Placed,11.58
146,Placed,17.42
147,Not Placed,0.0
148,Not Placed,0.0
149,Placed,11.34
150,Placed,11.49
151,Placed,19.95
152,Placed,14.35
153,Placed,16.42
154,Placed,13.36
